20250511,123456,ABCD1234,CM1234567,89000001234,50000006789,0000,000,00123050,2,2,567
20250512,111111,EFGH5678,CM9876543,21000000432,10000005432,0000,000,00423050,3,2,567
20250814,775557,U2JZ3G8L,CM5302927,37639151179,18520455878,0653,190,20250626,C,3,567
20231211,339704,QII1FY8V,CM6059416,83623814228,93623518855,0896,524,20250816,B,1,567
20251025,259095,1DLJ8L6E,CM2564646,83812777375,29245396172,9431,267,20250613,D,8,567
20230806,062472,ABRN49HF,CM1596340,52556095390,02894146580,1601,333,20240124,D,6,567
20251128,339131,FU8UCQZZ,CM3940812,39596705492,55333545003,5425,354,20250311,A,1,567
20230819,432889,7PW8XF8W,CM5866897,71418797452,77530791837,0330,752,20241105,D,8,567
20230425,194189,BIMU4NC2,CM2008464,72066053627,18181536634,0195,555,20240613,C,7,567
20251207,972315,JR3YTTEW,CM3653551,41960086020,13437897113,6624,750,20241012,B,2,567
20241210,218164,NEKSUT69,CM4102063,96317493801,08204188383,1102,912,20240629,C,6,567
20250608,280821,XB2O816G,CM4331497,00209934152,53107669660,5424,098,20250818,E,2,567
